year,iter,SDI,L2_return,L1_return,L2_insolvent,L1_insolvent,yearly_premium,claims,wind,fire,hail,hurricane
1987,61,46747.930107159686,0.5778379490921732,0.3711459234447396,0,0,14.088231313516673,1,0,0,1,0
1988,61,46747.930107159686,0.15781217838417394,0.3784697708910141,0,0,14.126829207526306,7,0,0,0,7
1989,61,46747.930107159686,-0.5870827116218288,-0.10719177687246939,0,0,14.088231313516673,18,0,0,0,18
1990,61,46747.930107159686,0.561517920755173,0.37190405713969477,0,0,14.088231313516673,0,0,0,0,0
1991,61,46747.930107159686,0.648090037381307,0.37324536484147863,0,0,14.088231313516673,1,1,0,0,0
1992,61,46747.930107159686,0.6372661762122325,0.3754553505053031,0,0,14.126829207526306,0,0,0,0,0
1993,61,46747.930107159686,0.6423948523340124,0.1499664151041471,0,0,14.088231313516673,0,0,0,0,0
1994,61,46747.930107159686,0.5416532511864474,0.37256459600398406,0,0,14.088231313516673,2,0,0,0,2
1995,61,46747.930107159686,-0.895349914541949,-0.23499160602192748,1,0,14.088231313516673,23,1,0,0,22
1996,61,46747.930107159686,-0.2582016352176688,-0.12587110762098996,0,0,14.126829207526306,13,0,0,0,13
1997,61,46747.930107159686,0.5592597071588681,0.3784382773400523,0,0,14.088231313516673,0,0,0,0,0
1998,61,46747.930107159686,0.2733880395274697,0.3751966043981858,0,0,14.088231313516673,6,6,0,0,0
1999,61,46747.930107159686,-0.5889831602822555,0.3746467504132347,0,0,14.088231313516673,19,0,0,0,19
2000,61,46747.930107159686,0.3437089515806562,-0.4169638148563287,0,0,14.126829207526306,3,0,0,0,3
2001,61,46747.930107159686,0.5992458379301979,-0.13843925930213719,0,0,14.088231313516673,1,0,1,0,0
2002,61,46747.930107159686,0.3130196966435925,0.3720686558862534,0,0,14.088231313516673,5,0,5,0,0
2003,61,46747.930107159686,-0.5227152457147881,-0.3671213542311087,0,0,14.088231313516673,18,0,0,0,18
2004,61,46747.930107159686,-0.4565942130287255,-0.2658871426316761,0,0,14.126829207526306,17,0,0,0,17
2005,61,46747.930107159686,-0.12038396302718335,0.1494080866077172,0,0,14.088231313516673,11,0,0,0,11
2006,61,46747.930107159686,0.09085727494599327,0.3741611067415782,0,0,14.088231313516673,8,0,0,0,8
2007,61,46747.930107159686,0.08649417408831472,0.057550594063263905,0,0,14.088231313516673,8,0,0,0,8
2008,61,46747.930107159686,-0.5261217777277746,-0.03274651439905629,0,0,14.126829207526306,18,0,0,0,18
2009,61,46747.930107159686,0.6384478167503289,0.37363711741943173,0,0,14.088231313516673,0,0,0,0,0
2010,61,46747.930107159686,0.5227814106454025,-0.5094060681816697,0,0,14.088231313516673,2,0,0,0,2
2011,61,46747.930107159686,0.061724800743212294,0.3768333032760114,0,0,14.088231313516673,7,0,0,0,7
2012,61,46747.930107159686,0.502068609402476,0.3729991051685715,0,0,14.126829207526306,2,0,0,0,2
2013,61,46747.930107159686,0.4527110415563047,-0.48213946102580596,0,0,14.088231313516673,3,0,1,0,2
2014,61,46747.930107159686,0.5229997816061265,-0.42107482889714476,0,0,14.088231313516673,1,1,0,0,0
2015,61,46747.930107159686,0.6260977938029766,-0.712689894873179,0,0,14.088231313516673,1,0,1,0,0
2016,61,46747.930107159686,0.582594020950802,0.3727776190657448,0,0,14.126829207526306,0,0,0,0,0
2017,61,46747.930107159686,-0.34007051158475865,0.0030672053763891594,0,0,14.088231313516673,16,0,1,0,15
2018,61,46747.930107159686,0.2760035647573482,0.3727403574551138,0,0,14.088231313516673,4,0,0,0,4
2019,61,46747.930107159686,0.6958627039925951,-0.08847576876193475,0,0,14.088231313516673,0,0,0,0,0
2020,61,46747.930107159686,-0.8378948329044142,0.12917747495281473,1,0,14.126829207526306,29,0,4,0,25
2021,61,46747.930107159686,-0.8531637379136453,-0.20202031972071544,1,0,14.088231313516673,27,1,2,0,24
2022,61,46747.930107159686,0.560001860774975,0.3749526427945258,0,0,14.088231313516673,0,0,0,0,0
2023,61,46747.930107159686,0.6111595525833473,-0.1606951021256663,0,0,14.088231313516673,1,0,1,0,0
1955,62,72142.40053361474,0.49326225910380117,0.1278240997336415,0,0,13.635414509884608,0,0,0,0,0
1956,62,72142.40053361474,0.5466115270358949,-0.363338824487068,0,0,13.672771809911689,0,0,0,0,0
1957,62,72142.40053361474,0.5835526828686648,-0.14949174853913283,0,0,13.635414509884608,0,0,0,0,0
1958,62,72142.40053361474,0.4940483900734378,0.3556534165437226,0,0,13.635414509884608,2,0,0,0,2
1959,62,72142.40053361474,-0.3592337101199329,-0.1252547930509691,0,0,13.635414509884608,15,0,0,1,14
1960,62,72142.40053361474,0.4792934627650225,0.36035142878842774,0,0,13.672771809911689,2,0,0,0,2
1961,62,72142.40053361474,-0.5012612023287433,0.3606425425593909,0,0,13.635414509884608,17,0,0,0,17
1962,62,72142.40053361474,0.5309737932194563,-0.30571449083196744,0,0,13.635414509884608,0,0,0,0,0
1963,62,72142.40053361474,0.5811780068141121,0.35994350761896254,0,0,13.635414509884608,0,0,0,0,0
1964,62,72142.40053361474,0.49809211895762595,-0.3207174158329682,0,0,13.672771809911689,0,0,0,0,0
1965,62,72142.40053361474,0.5802252891905089,0.3606151463029603,0,0,13.635414509884608,0,0,0,0,0
1966,62,72142.40053361474,0.48143118203499347,-0.21521205504424368,0,0,13.635414509884608,1,0,0,0,1
1967,62,72142.40053361474,0.42976907690982746,0.3613431588616489,0,0,13.635414509884608,3,0,0,0,3
1968,62,72142.40053361474,-0.0842739803085516,0.21034862836975954,0,0,13.672771809911689,10,0,0,0,10
1969,62,72142.40053361474,0.18933354097645183,0.3366077345860117,0,0,13.635414509884608,7,0,0,0,7
1970,62,72142.40053361474,0.591443970863982,0.3573741521338518,0,0,13.635414509884608,0,0,0,0,0
1971,62,72142.40053361474,0.6111743898554693,0.36199157247121105,0,0,13.635414509884608,0,0,0,0,0
1972,62,72142.40053361474,0.6094647092550771,0.1469153359904214,0,0,13.672771809911689,0,0,0,0,0
1973,62,72142.40053361474,0.616826795632359,0.35909348886493797,0,0,13.635414509884608,0,0,0,0,0
1974,62,72142.40053361474,0.4616267029268606,0.3614682479172098,0,0,13.635414509884608,1,1,0,0,0
1975,62,72142.40053361474,0.5974991675701709,0.36121292149791007,0,0,13.635414509884608,0,0,0,0,0
1976,62,72142.40053361474,0.516783404792226,0.36151700030645606,0,0,13.672771809911689,0,0,0,0,0
1977,62,72142.40053361474,0.49118233614503737,0.35925251537670877,0,0,13.635414509884608,0,0,0,0,0
1978,62,72142.40053361474,0.5904709604789822,0.2752422493269642,0,0,13.635414509884608,0,0,0,0,0
1979,62,72142.40053361474,-0.597719858692725,0.3570333077403427,0,0,13.635414509884608,20,0,0,0,20
1980,62,72142.40053361474,0.5586136354926683,0.15781851016692117,0,0,13.672771809911689,0,0,0,0,0
1981,62,72142.40053361474,0.47397742485056327,-0.0842829517207152,0,0,13.635414509884608,2,2,0,0,0
1982,62,72142.40053361474,0.5617576321139766,0.36097322791734365,0,0,13.635414509884608,0,0,0,0,0
1983,62,72142.40053361474,0.5065126744270716,0.3604375135158655,0,0,13.635414509884608,0,0,0,0,0
1984,62,72142.40053361474,0.6252412686884625,-0.058957808008631374,0,0,13.672771809911689,0,0,0,0,0
1985,62,72142.40053361474,0.4759374070467468,0.36227653991446296,0,0,13.635414509884608,1,0,0,0,1
1986,62,72142.40053361474,0.5209865651498069,0.3617547918038313,0,0,13.635414509884608,0,0,0,0,0
1987,62,72142.40053361474,0.6912808159031774,-0.14747161631635008,0,0,13.635414509884608,0,0,0,0,0
1988,62,72142.40053361474,0.2729696188722315,0.3600186496067701,0,0,13.672771809911689,6,0,0,0,6
1989,62,72142.40053361474,-0.486554175944356,0.0463461431064387,0,0,13.635414509884608,17,0,0,0,17
1990,62,72142.40053361474,0.5804482440654251,0.17506229182262034,0,0,13.635414509884608,0,0,0,0,0
1991,62,72142.40053361474,0.4731820595635243,0.3616769068629069,0,0,13.635414509884608,1,1,0,0,0
1992,62,72142.40053361474,0.5099919686056855,0.28970948515273864,0,0,13.672771809911689,0,0,0,0,0
1993,62,72142.40053361474,0.5290854603398367,0.012389272012078179,0,0,13.635414509884608,0,0,0,0,0
1994,62,72142.40053361474,0.491580348484431,0.35991710900870255,0,0,13.635414509884608,3,0,0,0,3
1995,62,72142.40053361474,-0.8992751382113515,-0.629964867602919,1,0,13.635414509884608,25,2,0,0,23
1996,62,72142.40053361474,-0.2868424564997838,-0.575670132736519,0,0,13.672771809911689,14,0,0,0,14
1997,62,72142.40053361474,0.6248826402338168,0.3595968729977612,0,0,13.635414509884608,0,0,0,0,0
1998,62,72142.40053361474,-0.06453075327513769,0.36076643061669134,0,0,13.635414509884608,11,11,0,0,0
1999,62,72142.40053361474,-0.41148436780615116,-0.01926619229512827,0,0,13.635414509884608,17,0,0,0,17
2000,62,72142.40053361474,0.34653905366530813,-0.20825220027869495,0,0,13.672771809911689,3,0,0,0,3
2001,62,72142.40053361474,0.6554257416296414,0.363568691058729,0,0,13.635414509884608,1,0,1,0,0
2002,62,72142.40053361474,0.11570979064862552,0.053170841342166986,0,0,13.635414509884608,7,0,7,0,0
2003,62,72142.40053361474,-0.7111091353290322,-0.43567082017465186,0,0,13.635414509884608,21,0,4,0,17
2004,62,72142.40053361474,-0.4172409134691055,0.09867159829724326,0,0,13.672771809911689,16,0,0,0,16
2005,62,72142.40053361474,-0.151270620643142,0.3609349699695201,0,0,13.635414509884608,11,0,0,0,11
2006,62,72142.40053361474,-0.11587348257393593,-2.168835915529188e-4,0,0,13.635414509884608,11,0,0,0,11
2007,62,72142.40053361474,0.08450036775333736,-0.3769748370290589,0,0,13.635414509884608,7,0,0,0,7
2008,62,72142.40053361474,-0.5280040586850214,0.3610979200483597,0,0,13.672771809911689,17,0,0,0,17
2009,62,72142.40053361474,0.5082828171011695,0.35652381398325206,0,0,13.635414509884608,1,1,0,0,0
2010,62,72142.40053361474,0.3682155286672162,0.3622939653577093,0,0,13.635414509884608,3,0,0,0,3
2011,62,72142.40053361474,0.24828966616385806,0.36087291694240653,0,0,13.635414509884608,7,2,0,0,5
2012,62,72142.40053361474,0.4494050994407246,-0.2103825904883292,0,0,13.672771809911689,2,0,0,0,2
2013,62,72142.40053361474,0.5160764755621512,0.35680241554584935,0,0,13.635414509884608,1,0,0,0,1
2014,62,72142.40053361474,0.5095282835021901,0.0995714715496483,0,0,13.635414509884608,1,0,0,0,1
