case_id,p_name,p_year,p_state,p_county,ylat,xlong,p_cap_ac
401620,Sumrall I Solar Farm,2017,MS,Lamar,31.399305,-89.491814,52
404529,Sumrall II Solar Farm,2016,MS,Lamar,31.401299,-89.500389,52
406188,"Wildflower Solar, LLC (MS)",2024,MS,DeSoto,34.955906,-90.175064,100
406248,Cane Creek,2024,MS,Clarke,31.98126,-88.882256,78.5
406319,Delta's Edge Solar,2023,MS,Carroll,33.523228,-90.074112,100
401790,Hattiesburg Solar Farm,2017,MS,Forrest,31.277435,-89.303215,50.6
404640,MTSUN,2020,MT,Yellowstone,45.876106,-108.655159,80
404663,Apex Solar,2015,MT,Beaverhead,45.232483,-112.746506,80
400936,Elm City Solar Facility,2016,NC,Wilson,35.783009,-77.847908,40
401294,"Eden Solar, LLC",2015,NC,Richmond,35.15472,-79.635384,47.7
400899,"DD Fayetteville Solar NC, LLC",2015,NC,Bladen,34.834457,-78.843437,23.1
402446,Bladen Solar,2017,NC,Bladen,34.817871,-78.624443,50
401229,"Innovative Solar 37, LLC",2017,NC,Anson,34.823734,-79.947983,78.7
401782,Innovative Solar 42,2017,NC,Cumberland,34.840912,-78.878311,71
401844,Cork Oak Solar,2017,NC,Halifax,36.372955,-77.571907,20.3
401663,"Shoe Creek Solar, LLC",2017,NC,Scotland,34.838543,-79.3862,64.5
402537,Buckleberry Solar,2018,NC,Pitt,35.380238,-77.404335,52.1
403136,Crooked Run,2019,NC,Pender,34.680218000000004,-77.977722,70.1
402403,"Bullock Solar, LLC",2017,NC,Vance,36.475418,-78.316132,50
401230,Innovative Solar 47,2017,NC,Robeson,34.801884,-79.329071,35
401232,Innovative Solar 54,2018,NC,Lenoir,35.205914,-77.712692,50
401238,Innovative Solar 67,2018,NC,Pender,34.615627,-77.999573,33.3
401454,Pecan Solar,2018,NC,Northampton,36.49398,-77.481079,74.9
401539,"Innovative Solar 43, LLC",2016,NC,Bladen,34.532593,-78.312019,38.9
401825,Summit Farms Solar,2017,NC,Currituck,36.479164,-76.153183,60
402612,"Ranchland Solar, LLC",2017,NC,Currituck,36.472599,-76.157509,60
402952,"Aulander Holloman Solar, LLC",2018,NC,Hertford,36.253273,-77.049721,80
403382,Gutenberg Solar,2019,NC,Northampton,36.471893,-77.539772,79.9
402484,"NC 102 Project, LLC",2018,NC,Cabarrus,35.299561,-80.496315,74.8
401665,Monroe Solar Facility,2017,NC,Union,34.932274,-80.633095,60
401783,Innovative Solar 31,2017,NC,Bladen,34.544483,-78.751831,35
401833,Brantley Solar,2018,NC,Nash,35.897587,-78.14711,50.2
401134,Kelford,2015,NC,Bertie,36.157036,-77.207802,21
401183,Rutherford Farm,2016,NC,Rutherford,35.256386,-81.830498,74.8
401234,Innovative Solar 46,2016,NC,Cumberland,34.916969,-78.932404,78.5
401397,"Conetoe II Solar, LLC",2015,NC,Edgecombe,35.814537,-77.494087,81
401834,Fox Creek Solar,2018,NC,Franklin,36.128159,-78.272751,50.2
403058,"Wilkinson Solar, LLC",2019,NC,Beaufort,35.593365,-76.76149,80.6
403081,"Ruff Solar, LLC",2020,NC,Rutherford,35.293644,-81.773666,22
403129,Maiden Creek Solar Power Plant,2021,NC,Catawba,35.590046,-81.16523,69.3
403130,Gaston Solar Power Plant,2020,NC,Gaston,35.321064,-81.343796,25
403207,"Fern Solar, LLC",2020,NC,Edgecombe,36.014133,-77.68103,100
403217,"Speedway Solar NC, LLC",2021,NC,Cabarrus,35.215927,-80.530167,22.6
403287,Hawtree Solar,2021,NC,Warren,36.529472,-78.111435,65
404032,"Harts Mill Solar, LLC",2021,NC,Edgecombe,35.908703,-77.639015,80
403845,"Sugar Solar, LLC",2021,NC,Yadkin,36.162933,-80.65316,60
403860,"Trent River Solar, LLC",2021,NC,Jones,35.004646,-77.272186,80
403929,Bay Tree,2021,NC,Bladen,34.704178,-78.419807,70.1
404041,Albemarle Beach Solar,2020,NC,Washington,35.905354,-76.641762,80
404581,"Stony Knoll Solar, LLC",2021,NC,Surry,36.286564,-80.659592,22.6
404625,"Lick Creek Solar, LLC",2022,NC,Stokes,36.297821,-80.11235,50
404626,"Highest Power Solar, LLC",2022,NC,Franklin,36.10014,-78.249237,48.7
404722,"Oak Trail Solar, LLC",2017,NC,Currituck,36.505886,-76.198044,100
404725,"Stanly Solar, LLC",2021,NC,Stanly,35.293903,-80.235123,50
404785,"Phobos Solar, LLC",2023,NC,Nash,35.88409,-78.153831,78.8
404786,"Cabin Creek Solar, LLC",2021,NC,Montgomery,35.339892999999996,-79.736809,70.2
406158,"Misenheimer Solar, LLC",2024,NC,Stanly,35.492043,-80.293625,74.4
406185,"Virginia Line Solar, LLC",2023,NC,Warren,36.523964,-78.280769,35
406473,Oak Solar,2023,NC,Northampton,36.53743,-77.76387,120
400767,Warsaw Farm,2015,NC,Duplin,35.001381,-78.125336,64.8
402098,Chestnut Solar,2020,NC,Halifax,36.177597,-77.715446,74.9
404582,"Broad River Solar, LLC",2019,NC,Cleveland,35.18911,-81.754578,50
405539,East Nash PV2,2023,NC,Nash,35.963474,-78.096748,23.4
405810,"Platteview Solar, LLC",2024,NE,Saunders,41.199207,-96.374985,81
404129,EDF Ph1 Toms River,2021,NJ,Ocean,39.988705,-74.240883,21.3
403736,Britton Solar Energy Center,2019,NM,Torrance,35.017532,-106.10096,50
400135,Roadrunner Solar,2011,NM,Dona Ana,31.803112,-106.67038,20.2
400104,Cimarron Solar Facility,2010,NM,Colfax,36.468452,-104.635071,30.6
400838,Macho Springs,2014,NM,Luna,32.571449,-107.486824,52.2
401681,"Chaves Solar, LLC",2016,NM,Chaves,33.44297,-104.43956,70
401682,"Roswell Solar, LLC",2016,NM,Chaves,33.455147,-104.459877,70
400979,"Caprock Solar 1, LLC",2016,NM,Quay,34.98592,-103.625587,25
401595,Alta Luna,2017,NM,Luna,32.569775,-107.468254,28.1
403868,Encino Solar Energy Center,2020,NM,Sandoval,35.35656,-106.857574,55
404648,"Route 66 Energy Center, LLC",2017,NM,Cibola,35.096867,-107.614098,49.5
404980,Chaves County Solar II,2023,NM,Chaves,33.431828,-104.434723,30
404981,Buena Vista Energy Center,2023,NM,Otero,32.074036,-106.332184,120
406177,"NMRD Data Center III, LLC",2023,NM,Sandoval,35.374084,-106.855392,50
406343,Sky Ranch Solar,2024,NM,Valencia,34.765591,-106.80011,190
406375,OE_ESCL,2024,NM,McKinley,35.41901,-108.09642,200
400086,CM48,2010,NV,Clark,35.781586,-114.993011,48
400658,Silver State Solar Power South,2016,NV,Clark,35.611919,-115.342491,250
400166,Silver State Solar Power North,2012,NV,Clark,35.624657,-115.352013,52
400363,Copper Mountain Solar 2,2015,NV,Clark,35.79493,-114.964912,154
400029,Stillwater Facility,2012,NV,Churchill,39.54277,-118.560936,21.8
400556,Spectrum Solar PV Power Project,2013,NV,Clark,36.237076,-114.875198,30
400802,Copper Mountain Solar 3,2015,NV,Clark,35.890041,-114.958344,255
401308,"Copper Mountain Solar 4, LLC",2016,NV,Clark,35.788536,-114.979851,93.6
400313,Moapa Southern Paiute,2016,NV,Clark,36.527924,-114.759171,250
402017,"Boulder Solar II, LLC",2017,NV,Clark,35.843212,-114.951408,50
401596,Playa Solar 2,2017,NV,Clark,36.410885,-114.912315,100
401319,"Playa Solar 1, LLC",2017,NV,Clark,36.400078,-114.901878,79
402690,"Techren Solar II, LLC",2019,NV,Clark,35.868839,-114.956238,200
